"","system.index","NDMI","NDMI_1","NDMI_10","NDMI_11","NDMI_12","NDMI_13","NDMI_14","NDMI_15","NDMI_16","NDMI_17","NDMI_18","NDMI_19","NDMI_2","NDMI_20","NDMI_21","NDMI_22","NDMI_23","NDMI_24","NDMI_25","NDMI_26","NDMI_27","NDMI_28","NDMI_29","NDMI_3","NDMI_30","NDMI_31","NDMI_32","NDMI_4","NDMI_5","NDMI_6","NDMI_7","NDMI_8","NDMI_9",".geo","CID","class"
"11","0000000000000000000a_0",0.4016139,0.475633,0.4918949,0.50015146,0.5000977,0.4670407,0.47463557,0.46678734,0.4941831,0.44466665,0.48485723,0.45721877,0.44321868,0.53721243,0.48210394,0.48879203,0.44981292,0.5572093,0.48182666,0.4702381,0.4827586,0.48758584,0.54437625,0.5010352,0.49529782,0.48899522,0.5183965,0.47703612,0.4169041,0.47310585,0.42998517,0.4861812,0.47030804,NA,11,"for"
"12","0000000000000000000b_0",0.40940344,0.40421486,0.4415248,0.52435315,0.43977055,0.4733285,0.45693597,0.48945716,0.46969974,0.48583335,0.4561477,0.46302855,0.4082569,0.49591878,0.45863992,0.46931028,0.4542917,0.5849057,0.48206097,0.44434932,0.45208332,0.46347404,0.47937545,0.398893,0.48849207,0.4384783,0.45997953,0.4168064,0.4007078,0.4182186,0.45070088,0.4090144,0.41954947,NA,12,"for"
"13","0000000000000000000c_0",0.41327843,0.41530433,0.47490624,0.48516747,0.4494647,0.43131772,0.4438406,0.44336447,0.47651443,0.45834407,0.45528457,0.5319285,0.43792674,0.45802256,0.4630199,0.46303353,0.48706707,0.4755122,0.47388706,0.4343029,0.4504259,0.479773,0.49176553,0.41513363,0.5082169,0.454039,0.49312612,0.40701002,0.420372,0.4239291,0.40759134,0.4255991,0.41091016,NA,13,"for"
"14","0000000000000000000d_0",0.5463917,0.48967707,0.7011494,0.5508587,0.5126965,0.5226537,0.5345455,0.81395346,0.54756874,0.5776987,0.49876338,0.5559131,0.57829183,0.51653945,0.5183333,0.51178205,0.47922438,0.6504689,0.5160966,0.4935946,0.45169282,0.52946234,0.4979424,0.5323149,0.49925926,0.5394737,0.55426073,0.44487995,0.45373702,0.4963145,0.4398148,0.56019264,0.50075644,NA,14,"for"
"15","0000000000000000000e_0",0.4589414,0.48224917,0.44769332,0.48057932,0.50220776,0.49154803,0.4581543,0.82539684,0.47114298,0.46039954,0.4745869,0.47323015,0.4709098,0.48413053,0.5,0.49248374,0.4435754,0.59966916,0.4950138,0.47988456,0.5856459,0.43635094,0.5015912,0.4600403,0.5016496,0.4931071,0.5071353,0.44719315,0.45957127,0.52624243,0.4491161,0.44686908,0.4876426,NA,15,"for"
"16","0000000000000000000f_0",0.43537098,0.43754393,0.45289755,0.4729842,0.47505876,0.46677604,0.450438,1.2075472,0.49014524,0.45690277,0.4664352,0.533098,0.482706,0.5010225,0.51432294,0.49070632,0.47634253,0.54485166,0.5184466,0.49872124,0.48103353,0.5152719,0.5219463,0.41973,0.5163044,0.49468893,0.5159169,0.4291197,0.44698763,0.47772098,0.42335585,0.41226214,0.46568003,NA,16,"for"
"17","00000000000000000010_0",0.38484508,0.41244572,0.42116097,0.43192333,0.4591952,0.45126355,0.45417592,0.4484179,0.44541574,0.4287108,0.4476045,0.4356415,0.43400267,0.4569305,0.44480625,0.4597902,0.43106458,0.45125347,0.48165315,0.44285145,0.43559197,0.46160197,0.4838356,0.3998934,0.47139055,0.4496722,0.5230317,0.39930907,0.3942984,0.41965142,0.39727962,0.42519543,0.40361822,NA,17,"for"
"18","00000000000000000011_0",0.42073485,0.4299584,0.43663618,0.47578475,0.50029886,0.4138859,0.4450754,0.44239745,0.46471488,0.42761117,0.43053088,0.43051007,0.43480843,0.46414924,0.46833682,0.4516129,0.41987315,0.48185483,0.5221675,0.44235712,0.45727623,0.4478587,0.46975005,0.4330955,0.5275081,0.47000894,0.5376782,0.44434822,0.42507872,0.44342372,0.42448512,0.4366617,0.40339246,NA,18,"for"
"19","00000000000000000012_0",0.33814248,0.39082927,0.45410186,0.43772015,0.44602773,0.44540727,0.44722325,0.42957485,0.46458924,0.42621258,0.42718035,0.44764978,0.4017999,0.43098134,0.48841944,0.46609652,0.43630925,0.46348414,0.47768128,0.45572272,0.44167092,0.47205535,0.5009739,0.43715194,0.49344063,0.4689667,0.5001031,0.43596813,0.4286281,0.44885176,0.41895804,0.41271514,0.40907678,NA,19,"for"
"20","00000000000000000013_0",0.42131978,0.41893423,0.45572254,0.4819243,0.43914232,0.41184267,0.4498234,1.2307693,0.4359443,0.45809892,0.46124455,0.44879845,0.46432817,0.44038245,0.54362416,0.4535593,0.40967575,0.44607732,0.46073878,0.4172398,0.4461466,0.40128332,0.48218623,0.42096812,0.4756473,0.4359294,0.45788965,0.43364123,0.4425817,0.4742268,0.4681267,0.38959715,0.44473305,NA,20,"for"
"21","00000000000000000014_0",0.3995744,0.41411975,0.45951942,0.48078787,0.44272977,0.44440228,0.457734,1.1043166,0.43552712,0.41999224,0.43860397,0.43522012,0.42842975,0.5198792,0.45967266,0.45023313,0.40580004,0.4539757,0.46685192,0.42912924,0.4511111,0.43820226,0.4581919,0.43015316,0.45153666,0.45008636,0.4956982,0.4309091,0.4177363,0.41821983,0.42111194,0.41213804,0.45420998,NA,21,"for"
"22","00000000000000000015_0",0.44242424,0.46561396,0.4607724,0.5351411,0.46759158,0.44010305,0.48932537,0.43553427,0.46692234,0.44529262,0.42774415,0.4422496,0.4288965,0.43276402,0.42561555,0.43963742,0.4176811,0.4328233,0.43664414,0.42585483,0.4443817,0.46666667,0.49705094,0.46827525,0.47697112,0.46251053,0.4873629,0.4319139,0.44916517,0.46326014,0.42510906,0.4347481,0.44929397,NA,22,"for"
"23","00000000000000000016_0",0.43459916,0.44048148,0.44923803,0.45409542,0.48472303,0.47069559,0.47429025,0.45878404,0.4590334,0.4376861,0.47324416,0.4629962,0.45766488,0.51702785,0.45592165,0.4724733,0.46815288,0.46463546,0.46726424,0.44880676,0.48009798,0.45803797,0.49532712,0.4460473,0.47092146,0.47229886,0.481219,0.4755211,0.46288574,0.4554409,0.4335576,0.44711035,0.41645423,NA,23,"for"
"24","00000000000000000017_0",0.39109132,0.41275167,0.43657252,0.47806856,0.47262004,0.40320942,0.42758462,0.55257064,0.44247788,0.44251713,0.44065127,0.39005637,0.3942446,0.49560353,0.45047265,0.48188093,0.42608696,0.4651628,0.4922998,0.46739954,0.4547642,0.4721287,0.50319785,0.42884207,0.50908375,0.45976344,0.47805455,0.42100415,0.4262202,0.44745636,0.405881,0.41912633,0.40660378,NA,24,"for"
"25","00000000000000000018_0",0.3655723,0.3646506,0.34508154,0.39577177,0.4051724,0.36033094,0.39801773,0.39214423,0.40384614,0.41432336,0.40172452,0.39874282,0.44984984,0.42625675,0.4383704,0.43635908,0.42296073,0.48319328,0.48097613,0.5618221,0.44428706,0.46269253,0.47545648,0.37769294,0.5244845,0.46265516,0.47433063,0.37897784,0.36955094,0.38819706,0.39913592,0.3600609,0.3719626,NA,25,"for"
"26","00000000000000000019_0",0.43827915,0.44531462,0.44892472,0.52431613,0.46562123,0.44214305,0.45480227,0.5139319,0.4633447,0.45425805,0.46022,0.46289954,0.5345529,0.47284836,0.45521528,0.48107213,0.5341652,0.48278582,0.4942276,0.45152506,0.4568158,0.46836638,0.48913568,0.46799225,0.47064486,0.5328798,0.49248406,0.51183766,0.48322147,0.53488374,0.42070276,0.4408602,0.4597701,NA,26,"for"
